Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Pt. Dinesh Chand Sharma,Saman Adhikar Party,0,12th Pass,40,65000,0
Purushottam Das Fauzi Bhai,AAP,0,Graduate,62,11661425,700000
Rajesh Singh Kushwah,Jan Adhikar Party,0,Graduate Professional,47,12445000,536052
Roopali Dixit,SP,0,Post Graduate,34,1598969,145152
Shailendra Singh,BSP,0,Graduate,41,39175082,2542000
Vijay Singh Dhangar,Rashtriya Shoshit Samaj Party,0,12th Pass,70,56124585,0
Ashok Kumar,IND,0,Post Graduate,45,1656500,0
Brijendra Singh,IND,0,8th Pass,67,2323102,0
Kaushal Kishor,IND,0,Post Graduate,26,621000,0
Madhusudan Sharma,SP, 5 ,8th Pass,53,242356401,57815449
Manoj Dixit,INC, 4 ,Graduate,51,4476000,0
Naresh,IND,0,12th Pass,32,428000,0
Neeraj Kumar Karauria,AAP,0,Others,29,764200,574000
Nitin Verma,BSP,0,Graduate,26,20809884,8357334
Rambaran,IND,0,Literate,54,1462686,0
Rani Pakshalika Singh,BJP,0,Graduate,61,584850043,2985069
Sarvesh Kumar,Bharatiya Majdoor Janta Party,0,Graduate Professional,32,1107907,45200
Styendra Baghel,Rashtriya Samaj Paksha,0,Illiterate,31,100000,0
Sukhram,IND,0,12th Pass,46,3426000,0
Vijay Pratap Singh,IND,0,Graduate Professional,32,1286200,0
Anoop Singh Alias Anoop Pradhan Valmeeki,BJP,0,10th Pass,40,9238262,2068000
Bhagwati Prasad,RLD,0,12th Pass,59,22285000,707000
Charu Kain Kain,BSP,0,12th Pass,25,17850000,1100000
Jagdish Prasad,IND,0,Not Given,46,1020000,0
Mohneesh Pratap Singh,AAP,0,Post Graduate,26,286500,0
Monika,INC,0,12th Pass,30,2520000,0
Mulchand,IND,0,12th Pass,50,426981,0
Devender Kumar Verma,IND,0,10th Pass,55,10950000,900000
Gaurang Dev,INC, 2 ,Graduate Professional,30,2745000,450000
Narendra Kumar Sharma,BSP,0,Graduate Professional,37,20664916,5186409
Pramod Gaur,RLD,0,Graduate,61,107644165,500000
Shakir Ali,All India Majlis-E-Ittehadul Muslimeen,0,8th Pass,51,2105000,857
Sunita,AAP,0,12th Pass,49,3050000,0
Thakur Jaiveer Singh,BJP,0,Post Graduate,57,130754430,6711061
Akhalesh Devi,IND,0,Illiterate,37,1151385,0
Brijesh Kumar,Lok Dal,0,12th Pass,37,4096000,0
Dharmendra Kumar,INC, 1 ,10th Pass,38,5704000,0
Dr. Omvir Singh,BSP,0,Doctorate,54,20824853,2749560
Kailash Kumar,Bahujan Mukti Party,0,Literate,33,0,0
Khem Singh,AAP,0,Graduate Professional,52,10369000,40000
Manju Devi Alias Manju Rani,IND,0,Post Graduate,52,20824853,2749560
Rahul Singh,IND,0,Graduate Professional,33,660360,0
Saleem Khan,IND,0,10th Pass,42,10455574,40000
Sandeep Kumar Singh,BJP,0,Post Graduate,30,144657223,0
