Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Liabilities
Deol Hema Malini Dharmendra,MATHURA,BJP,0,Doctorate,1782015620,231234174
Choudhury Mohan Jatua,MATHURAPUR,AITC,0,Post Graduate,4857752,0
Barne Shrirang Chandu,MAVAL,SHS, 2 ,8th Pass,665047926,11799786
Kodikunnil Suresh,MAVELIKKARA,INC, 1 ,Graduate Professional,13251330,3439654
Bharathi Mohan R.k,MAYILADUTHURAI,AIADMK, 1 ,12th Pass,7378589,969756
Rama Chandra Hansdah,MAYURBHANJ,BJD,0,Graduate,3630888,0
Kalvakuntla Chandrashekar Rao,MEDAK,TRS, 2 ,Graduate,151582464,78753620
Sandhya Roy,MEDINIPUR,AITC,0,Literate,31031095,0
Rajendra Agarwal,MEERUT,BJP, 2 ,Post Graduate,8803517,3074600
Anupriya Singh Patel,MIRZAPUR,Apna Dal, 2 ,Post Graduate,26858156,1805603
Anju Bala,MISRIKH,BJP,0,Post Graduate,37618214,1200000
C. L. Ruala,MIZORAM,INC,0,Graduate,25733421,0
Kaushal Kishore,MOHANLALGANJ,BJP, 2 ,12th Pass,21128221,0
Kunwar Sarvesh Kumar,MORADABAD,BJP, 4 ,10th Pass,72866898,600000
Anoop Mishra,MORENA,BJP,0,12th Pass,110523112,6878160
Gopal Chinayya Shetty,MUMBAI NORTH,BJP, 10 ,5th Pass,95617889,0
Poonam Mahajan Alias Poonam Vajendla Rao,MUMBAI NORTH CENTRAL,BJP,0,Others,1080867626,414479088
Kirit Somaiya,MUMBAI NORTH EAST,BJP, 10 ,Doctorate,72156258,6593325
Gajanan Chandrakant Kirtikar,MUMBAI NORTH WEST,SHS,0,Graduate,58352000,2257000
Sawant Arvind Ganpat,MUMBAI SOUTH,SHS, 1 ,Graduate,13132841,0
Shewale Rahul Ramesh,MUMBAI SOUTH CENTRAL,SHS, 1 ,Others,13304397,10502345
Veena Devi,MUNGER,LJP,0,8th Pass,31162836,0
Badaruddoza Khan,MURSHIDABAD,CPI(M),0,Graduate Professional,2758610,0
Dr. Sanjeev Kumar Balyan,MUZAFFARNAGAR,BJP, 1 ,Doctorate,10794222,3090803
Ajay Nishad,MUZAFFARPUR,BJP,0,Graduate,145712654,989888
Prathap Simha,MYSORE,BJP,0,Post Graduate,6321591,4399048
Balabhadra Majhi,NABARANGPUR,BJD,0,Graduate,52977088,705404
Neiphiu Rio,NAGALAND,NPF,0,Graduate,315834264,0
Gopal. Dr. K,NAGAPATTINAM,AIADMK,0,Graduate Professional,19074709,13629120
Nandi Yellaiah,NAGARKURNOOL,INC,0,12th Pass,7048969,0
C R Choudhary,NAGAUR,BJP,0,Post Graduate,17921949,0
Yashwant Singh,NAGINA,BJP,0,Post Graduate,34806740,0
Gadkari Nitin Jairam,NAGPUR,BJP, 4 ,Graduate Professional,153704475,19004037
Bhagat Singh Koshyari,NAINITAL UDHAMSINGH NAGAR,BJP,0,Post Graduate,5562704,0
Kaushlendra Kumar,NALANDA,JD(U),0,12th Pass,11812717,477000
Gutha Sukhender Reddy,NALGONDA,INC, 1 ,12th Pass,85907866,10103677
Sundaram P.r,NAMAKKAL,AIADMK,0,Graduate,126539914,92677412
Shri Chavan Ashokrao Shankarrao,NANDED,INC,0,Post Graduate,388758910,30513286
Dr.gavit Heena Vaijaykumar,NANDURBAR,BJP,0,Graduate Professional,131103963,7571753
S.p.y Reddy,NANDYAL,Yuvajana Sramika Rythu Congress Party, 2 ,Graduate Professional,219577179,1077820
Rayapati Sambasiva Rao,NARASARAOPET,TDP, 2 ,Graduate,595838093,56263516
Gokaraju Ganga Raju,NARSAPURAM,BJP, 1 ,Graduate,2883567122,168501286
Godse Hement Tukaram,NASHIK,SHS, 1 ,Others,83628253,23559648
Patil Chandrakant Raghunath,NAVSARI,BJP, 7 ,10th Pass,744761133,405888122
Giriraj Singh,NAWADA,BJP, 1 ,Graduate,50054771,0
Mekapati Rajamohan Reddy,NELLORE,Yuvajana Sramika Rythu Congress Party, 2 ,Graduate Professional,361746068,0
Smt. Meenakshi Lekhi,NEW DELHI,BJP,0,Graduate Professional,349916470,3275562
"Gopalakrishnan, C.",NILGIRIS,AIADMK,0,Post Graduate,10941189,1224754
Kalvakuntla Kavitha,NIZAMABAD,TRS, 8 ,Graduate Professional,61955750,3213119
Manoj Tiwari,NORTH EAST DELHI,BJP,0,Post Graduate,199483924,34645630
Shripad Yesso Naik,NORTH GOA,BJP,0,Graduate,37019154,837843
Udit Raj,NORTH WEST DELHI,BJP, 1 ,Doctorate,44902363,0
Rajen Gohain,NOWGONG,BJP, 1 ,Graduate Professional,24736544,5328287
Yarram Venkata Subbareddy,ONGOLE,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,735451548,240557614
Gaikwad Ravindra Vishwanath,OSMANABAD,SHS, 8 ,Post Graduate,32852793,5962702
Thangso Baite,OUTER MANIPUR,INC,0,Post Graduate,5947000,880000
M B Rajesh,PALAKKAD,CPI(M), 11 ,Graduate Professional,4676316,700680
Vishnu Dayal Ram,PALAMAU,BJP,0,Graduate,24753886,0
Wanaga Chintaman Navasha,PALGHAR,BJP,0,Graduate Professional,5809644,401000
P P Choudhary,PALI,BJP,0,Graduate Professional,353503467,7892216
Chauhan Prabhatsinh Pratapsinh,PANCHMAHAL,BJP, 3 ,10th Pass,10464000,0
Jadhav Sanjay (bandu) Haribhau,PARBHANI,SHS, 7 ,10th Pass,31016711,5976851
Dr. Sanjay Jayaswal,PASCHIM CHAMPARAN,BJP, 2 ,Post Graduate,35941299,6197804
Ram Kripal Yadav,PATALIPUTRA,BJP, 1 ,Graduate,13989431,2100000
Vaghela Liladharbhai Khodaji,PATAN,BJP,0,Graduate Professional,15384027,0
Anto Antony,PATHANAMTHITTA,INC,0,Graduate,5410884,4211050
Dr.dharam Vira Gandhi,PATIALA,AAP,0,Graduate Professional,45115421,0
Shatrughan Sinha,PATNA SAHIB,BJP, 1 ,Graduate,1317405961,168760929
Balka Suman,PEDDAPALLE,TRS, 1 ,Post Graduate,7351329,620770
R.p.marutharajaa,PERAMBALUR,AIADMK,0,Post Graduate,24570213,0
Keshav Prasad,PHULPUR,BJP, 11 ,Graduate,93244143,24381051
Maneka Sanjay Gandhi,PILIBHIT,BJP, 1 ,12th Pass,374132826,219202
Mahendran.c,POLLACHI,AIADMK,0,Post Graduate,231430367,18128825
R. Radhakrishnan,PONDICHERRY,All India N.R. Congress,0,Post Graduate,77724418,7658530
E. T. Mohammed Basheer,PONNANI,IUML,0,10th Pass,13216259,0
Radadiya Vithalbhai Hansrajbhai,PORBANDAR,BJP, 10 ,Graduate,73003639,316000
Kuwar Harivansh Singh,PRATAPGARH,Apna Dal, 5 ,Graduate,383137665,149404112
Anil Shirole,PUNE,BJP, 2 ,Graduate,227615279,4781007
Pinaki Mishra,PURI,BJD,0,Graduate Professional,1370991203,19975839
Santosh Kumar,PURNIA,JD(U), 3 ,12th Pass,22316594,1406515
Mriganka Mahato,PURULIA,AITC,0,Graduate Professional,8895210,0
Radha Mohan Singh,PURVI CHAMPARAN,BJP,0,Graduate,22558073,4270360
Sonia Gandhi,RAE BARELI,INC,0,Others,92895288,0
B.v.nayak,RAICHUR,INC,0,Graduate Professional,73502466,0
Geete Anant Gangaram,RAIGAD,SHS,0,10th Pass,44466487,23968087
Md. Salim,RAIGANJ,CPI(M),0,Post Graduate,8318013,0
Vishnudev Sai,RAIGARH,BJP,0,10th Pass,21576220,1819686
Ramesh Bais,RAIPUR,BJP,0,12th Pass,73190135,274902
Murali Mohan Maganti,RAJAHMUNDRY,TDP, 1 ,12th Pass,180822216,12245000
P.v.midhun Reddy,RAJAMPET,Yuvajana Sramika Rythu Congress Party, 1 ,Post Graduate,225984036,8183862
Rodmal Nagar,RAJGARH,BJP,0,Graduate,28569974,3586473
Mohanbhai Kalyanjibhai Kundariya,RAJKOT,BJP,0,8th Pass,39512950,2335530
Vijay Kumar Hansdak,RAJMAHAL,JMM, 1 ,5th Pass,6863306,0
Abhishek Singh,RAJNANDGAON,BJP,0,Graduate Professional,44093207,0
Hari Om Singh Rathore,RAJSAMAND,BJP,0,Graduate,188310824,2728752
Anwhar Raajhaa.a,RAMANATHAPURAM,AIADMK,0,Graduate,33582876,2700000
Dr. Nepal Singh,RAMPUR,BJP,0,Doctorate,27136042,1614820
Krupal Balaji Tumane,RAMTEK,SHS, 1 ,Graduate,46563962,216000
Tapas Mandal,RANAGHAT,AITC,0,Doctorate,8169115,2383416
Ramtahal Choudhary,RANCHI,BJP,0,10th Pass,10743950,0
Dileep Singh Bhuriya,RATLAM,BJP,0,10th Pass,12259882,0
Vinayak Bhaurao Raut,RATNAGIRI SINDHUDURG,SHS, 5 ,Post Graduate,44568629,2370842
Khadase Raksha Nikhil,RAVER,BJP,0,Graduate,144222841,0
Janardan Mishra,REWA,BJP,0,Graduate Professional,10156568,106977
Chhote Lal,ROBERTSGANJ,BJP,0,5th Pass,3687361,55313
Deepender Singh,ROHTAK,INC,0,Post Graduate,358749354,39310300
Rathod Dipsinh Shankarsinh,SABARKANTHA,BJP,0,8th Pass,20700176,417585
Laxmi Narayan Yadav,SAGAR,BJP, 1 ,Graduate Professional,23962099,956348
Raghav Lakhanpal,SAHARANPUR,BJP,0,Post Graduate,35406431,0
Pannerselvam.v,SALEM,AIADMK,0,Graduate Professional,32268097,253282
Ravindra Kushawaha,SALEMPUR,BJP,0,12th Pass,7134477,0
Ram Chandra Paswan,SAMASTIPUR,LJP, 3 ,10th Pass,13058612,0
Nagendra Kumar Pradhan,SAMBALPUR,BJD,0,Graduate Professional,12796623,1461565
Satya Pal Singh,SAMBHAL,BJP,0,Post Graduate,19904379,0
Sanjaykaka Patil,SANGLI,BJP,0,10th Pass,108791027,19198050
Bhagwant Mann,SANGRUR,AAP,0,12th Pass,43057512,16281200
Sharad Tripathi,SANT KABIR NAGAR,BJP,0,Post Graduate,3697671,71800
Rajiv Pratap Rudy,SARAN,BJP, 1 ,Post Graduate,62545997,1008658
Chhedi Paswan,SASARAM,BJP,0,Post Graduate,35776803,275000
Shrimant Chh. Udayanraje Pratapsinha Bhonsale,SATARA,NCP, 23 ,12th Pass,606089208,312941
Ganesh Singh,SATNA,BJP, 2 ,Post Graduate,37800000,0
Bandaru Dattatreya,SECUNDERABAD,BJP, 3 ,Graduate,98255148,405469
Dalpat Singh Paraste,SHAHDOL,BJP,0,Graduate Professional,5524870,0
Krishna Raj,SHAHJAHANPUR,BJP,0,Post Graduate,16506411,3612812
Rama Devi,SHEOHAR,BJP, 6 ,Graduate Professional,308591850,0
Vincent H. Pala,SHILLONG,INC,0,Graduate Professional,497108058,0
Virender Kashyap,SHIMLA,BJP,0,Post Graduate,5228095,0
B.s. Yeddyurappa,SHIMOGA,BJP, 8 ,12th Pass,69746267,500000
Lokhande Sadashiv Kisan,SHIRDI,SHS, 1 ,10th Pass,38176143,1497168
Adhalrao Shivaji Dattatrey,SHIRUR,SHS, 10 ,Others,253880475,61810866
Daddan Mishra,SHRAWASTI,BJP,0,Post Graduate,20065527,228304
Riti Pathak,SIDHI,BJP,0,Post Graduate,33416561,0
Sumedha Nand Saraswati,SIKAR,BJP,0,Others,34311,0
Prem Das Rai,SIKKIM,SDF,0,Post Graduate,32389223,0
Sushmita Dev,SILCHAR,INC, 1 ,Post Graduate,87495844,12008613
Laxman Giluwa,SINGHBHUM,BJP, 4 ,12th Pass,8094301,108145
Charanjeet Singh,SIRSA,INLD,0,10th Pass,8146887,3260000
Ram Kumar Sharma,SITAMARHI,Rashtriya Lok Samta Party,0,Post Graduate,9265000,82000
Rajesh Kumar Singh,SITAPUR,BJP,0,Post Graduate,41418622,1265000
Pr Senthilnathan,SIVAGANGA,AIADMK,0,Graduate Professional,49050835,7459581
Om Prakash Yadav,SIWAN,BJP, 1 ,Graduate,2213023,1956467
Sharad Bansode,SOLAPUR,BJP, 1 ,Graduate Professional,60152887,7604375
Ramesh Kaushik,SONIPAT,BJP,0,Graduate Professional,142840716,0
Ramesh Bidhuri,SOUTH DELHI,BJP, 4 ,Graduate Professional,147493056,0
Adv. Narendra Keshav Sawaikar,SOUTH GOA,BJP,0,Graduate Professional,6260382,0
Kalyan Banerjee,SREERAMPUR,AITC, 1 ,Graduate Professional,88512676,8582543
Rammohannaidu Kinjarapu,SRIKAKULAM,TDP,0,Post Graduate,84173423,0
Tariq Hameed Karra,SRINAGAR,JKPDP,0,Graduate Professional,984556436,1500000
"Ramachandran, K.n. Thiru",SRIPERUMBUDUR,AIADMK,0,Post Graduate,936721057,80806268
Feroze Varun Gandhi,SULTANPUR,BJP,0,Post Graduate,357318699,18119000
Jual Oram,SUNDARGARH,BJP, 1 ,Others,24202170,0
Ranjeet Ranjan,SUPAUL,INC, 5 ,12th Pass,81242965,0
Jardosh Darshnaben Vikrambhai,SURAT,BJP,0,Graduate,18038444,2020458
Fatepara Devajibhai Govindbhai,SURENDRANAGAR,BJP, 1 ,Literate,11685000,0
Kamalbhan Singh,SURGUJA,BJP,0,Post Graduate,24773173,2995985
Suvendu Adhikari,TAMLUK,AITC, 2 ,Post Graduate,6480767,0
Mala Rajya Laxmi Shah,TEHRI GARHWAL,BJP,0,12th Pass,1662109875,14900000
Vasanthi.m,TENKASI,AIADMK,0,Post Graduate,24014922,0
Ram Prasad Sarmah,TEZPUR,BJP,0,Graduate Professional,6655300,0
Vichare Rajan Baburao,THANE,SHS, 13 ,10th Pass,98543902,13054217
Parasuraman.k,THANJAVUR,AIADMK,0,12th Pass,146049347,27954352
"Parthipan, R.",THENI,AIADMK,0,Graduate,22047681,869650
Dr. Shashi Tharoor,THIRUVANANTHAPURAM,INC,0,Doctorate,230275186,0
Jeyasingh Thiyagaraj Natterjee.j,THOOTHUKKUDI,AIADMK,0,Post Graduate,9822294,0
C N Jayadevan,THRISSUR,CPI, 3 ,Post Graduate,20041642,294000
Dr. Virendra Kumar,TIKAMGARH,BJP,0,Doctorate,9364635,0
P.kumar S/o Palanivel,TIRUCHIRAPPALLI,AIADMK,0,Graduate Professional,18522597,1917891
Prabakaran.k.r.p,TIRUNELVELI,AIADMK,0,Graduate Professional,2764500,0
Varaprasad Rao Velagapalli,TIRUPATI,Yuvajana Sramika Rythu Congress Party,0,Doctorate,129128388,3132962
V.sathyabama,TIRUPPUR,AIADMK, 2 ,Post Graduate,28108573,2475755
Venugopal. P. Dr.,TIRUVALLUR,AIADMK,0,Graduate Professional,28643502,1768538
Vanaroja R,TIRUVANNAMALAI,AIADMK,0,Post Graduate,3700000,0
Sukhbir Singh Jaunapuria,TONK SAWAI MADHOPUR,BJP,0,12th Pass,714124612,0
Jitendra Choudhury,TRIPURA EAST,CPI(M),0,12th Pass,11322979,2030773
Sankar Prasad Datta,TRIPURA WEST,CPI(M), 1 ,Post Graduate,1320900,0
S.p.muddahanumegowda,TUMKUR,INC,0,Graduate Professional,30273812,0
Purno Agitok Sangma,TURA,NPP,0,Post Graduate,215134618,0
Arjunlal Meena,UDAIPUR,BJP,0,Post Graduate,17049951,8195866
Dr. Jitendra Singh,UDHAMPUR,BJP,0,Graduate Professional,38464932,11881
Shobha Karandlaje,UDUPI CHIKMAGALUR,BJP,0,Post Graduate,72089452,38119792
Nityanand Rai,UJIARPUR,BJP, 1 ,Graduate,146743540,3965423
Chintamani Malviya,UJJAIN,BJP,0,Doctorate,18888754,5483153
Sultan Ahmed,ULUBERIA,AITC,0,Graduate,22792936,10878739
Swami Sachchidanand Hari Sakshi,UNNAO,BJP, 8 ,Doctorate,32137597,0
Anantkumar Hegde,UTTARA KANNADA,BJP,0,12th Pass,32367360,15139611
Mullappally Ramachandran,VADAKARA,INC,0,Post Graduate,9225000,2160000
Narendra Modi,VADODARA,BJP,0,Post Graduate,15157582,0
Rama Kishore Singh,VAISHALI,LJP, 4 ,Graduate,21610218,3323006
Satish Dubey,VALMIKI NAGAR,BJP, 3 ,10th Pass,6061576,626789
Dr. K.c.patel,VALSAD,BJP,0,Graduate Professional,131141867,2381344
Narendra Modi,VARANASI,BJP,0,Post Graduate,16591582,0
"Senguttuvan, B.",VELLORE,AIADMK,0,Post Graduate,9197355,440478
Sushma Swaraj,VIDISHA,BJP,0,Graduate Professional,175516422,6500000
Srinivas Kesineni,VIJAYAWADA,TDP, 3 ,10th Pass,1284122669,715462989
S. Rajendran,VILUPPURAM,AIADMK,0,Graduate,6200000,2371331
Radhakrishnan,VIRUDHUNAGAR,AIADMK,0,10th Pass,43736485,5273447
Dr. Kambhampati Hari Babu,VISAKHAPATNAM,BJP,0,Doctorate,90103580,1854856
Ashok Gajapathi Raju Pusapati,VIZIANAGARAM,TDP,0,10th Pass,39754644,0
Kadiyam Srihari,WARANGAL,TRS, 6 ,Post Graduate,13495000,0
Ramdas Chandrabhanji Tadas,WARDHA,BJP, 5 ,10th Pass,33628998,1749314
M I Shanavas,WAYANAD,INC,0,Post Graduate,27122055,7711000
Parvesh Sahib Singh,WEST DELHI,BJP, 1 ,Post Graduate,107235461,26650000
Gawali Bhavana Pundlikrao,YAVATMAL WASHIM,SHS, 4 ,Graduate,60886040,7368967
B.b.patil,ZAHIRABAD,TRS,0,Graduate,1023173039,83517670
