Candidate,Party,Criminal Cases,Education,Age,Constituency,Total Assets,Liabilities
Lekhraj,IND,0,Literate,51,Fatehpur Sikri + Agra,666000,0
Mukesh Kumar,BSP,0,Graduate Professional,34,Fatehpur Sikri + Agra,32782544,2323729
Sangeeta,Bharatiya Majdoor Janta Party,0,Literate,45,Fatehpur Sikri + Agra,18685000,0
Saurabh Singh Parmar,IND,0,Graduate,28,Fatehpur Sikri + Agra,1032000,0
Yogendra Singh Chahar,IND,0,Post Graduate,47,Fatehpur Sikri + Agra,23970000,1000000
Ambedakari Hasanuram Ambedakari,IND, 1 ,Literate,67,Kheragarh + Agra,1100,0
Ashok Kumar,Bharatiya Subhash Sena,0,Post Graduate,60,Kheragarh + Agra,8478000,0
Banwarilal,AAP,0,Post Graduate,55,Kheragarh + Agra,5021049,520000
Bhagwan Singh Kushwaha,BJP, 1 ,Graduate Professional,53,Kheragarh + Agra,11444482,0
Gangadhar Kushwah,BSP,0,Post Graduate,57,Kheragarh + Agra,31931186,0
Laxmi Narayan,IND,0,10th Pass,49,Kheragarh + Agra,414000,0
Neeraj Kumar Rawat,IND, 3 ,12th Pass,33,Kheragarh + Agra,705000,0
Ramnath Singh Sikarwar,INC, 10 ,Graduate,53,Kheragarh + Agra,5255000,0
Randhaur Singh,IND, 1 ,8th Pass,43,Kheragarh + Agra,6915000,500000
Rohtan,RLD, 1 ,10th Pass,35,Kheragarh + Agra,41580000,350000
Satish Chandra Bhardwaj,Saman Adhikar Party,0,Post Graduate,61,Kheragarh + Agra,4085000,0
Shyam Sundar,IND,0,Graduate,28,Kheragarh + Agra,649062,0
Uday Singh,IND,0,Post Graduate,45,Kheragarh + Agra,765200,0
Ajay Kumar,Log Party,0,Graduate,30,Fatehabad + Agra,230000,0
Bhuri,IND,0,Post Graduate,37,Fatehabad + Agra,14221490,612000
Chhotey Lal Verma,BJP,0,8th Pass,68,Fatehabad + Agra,63914393,1137492
Hotam Singh Nishad,INC,0,Graduate,33,Fatehabad + Agra,17922000,382650
Mahinder Singh Verma,IND,0,Post Graduate,38,Fatehabad + Agra,19724035,1057058
Narendra Singh,Bhartiya Veer Dal,0,Graduate,35,Fatehabad + Agra,1115000,0
Pramod Kumari Kushwah,IND,0,12th Pass,45,Fatehabad + Agra,8702767,0
Pt. Dinesh Chand Sharma,Saman Adhikar Party,0,12th Pass,40,Fatehabad + Agra,65000,0
Purushottam Das Fauzi Bhai,AAP,0,Graduate,62,Fatehabad + Agra,11661425,700000
Rajesh Singh Kushwah,Jan Adhikar Party,0,Graduate Professional,47,Fatehabad + Agra,12445000,536052
Roopali Dixit,SP,0,Post Graduate,34,Fatehabad + Agra,1598969,145152
Shailendra Singh,BSP,0,Graduate,41,Fatehabad + Agra,39175082,2542000
Vijay Singh Dhangar,Rashtriya Shoshit Samaj Party,0,12th Pass,70,Fatehabad + Agra,56124585,0
Ashok Kumar,IND,0,Post Graduate,45,Bah + Agra,1656500,0
Brijendra Singh,IND,0,8th Pass,67,Bah + Agra,2323102,0
Kaushal Kishor,IND,0,Post Graduate,26,Bah + Agra,621000,0
Madhusudan Sharma,SP, 5 ,8th Pass,53,Bah + Agra,242356401,57815449
Manoj Dixit,INC, 4 ,Graduate,51,Bah + Agra,4476000,0
Naresh,IND,0,12th Pass,32,Bah + Agra,428000,0
Neeraj Kumar Karauria,AAP,0,Others,29,Bah + Agra,764200,574000
Nitin Verma,BSP,0,Graduate,26,Bah + Agra,20809884,8357334
Rambaran,IND,0,Literate,54,Bah + Agra,1462686,0
Rani Pakshalika Singh,BJP,0,Graduate,61,Bah + Agra,584850043,2985069
Sarvesh Kumar,Bharatiya Majdoor Janta Party,0,Graduate Professional,32,Bah + Agra,1107907,45200
Styendra Baghel,Rashtriya Samaj Paksha,0,Illiterate,31,Bah + Agra,100000,0
Sukhram,IND,0,12th Pass,46,Bah + Agra,3426000,0
Vijay Pratap Singh,IND,0,Graduate Professional,32,Bah + Agra,1286200,0
Anoop Singh Alias Anoop Pradhan Valmeeki,BJP,0,10th Pass,40,Khair (Sc) + Aligarh,9238262,2068000
Bhagwati Prasad,RLD,0,12th Pass,59,Khair (Sc) + Aligarh,22285000,707000
Charu Kain Kain,BSP,0,12th Pass,25,Khair (Sc) + Aligarh,17850000,1100000
Jagdish Prasad,IND,0,Not Given,46,Khair (Sc) + Aligarh,1020000,0
Mohneesh Pratap Singh,AAP,0,Post Graduate,26,Khair (Sc) + Aligarh,286500,0
Monika,INC,0,12th Pass,30,Khair (Sc) + Aligarh,2520000,0
Mulchand,IND,0,12th Pass,50,Khair (Sc) + Aligarh,426981,0
Devender Kumar Verma,IND,0,10th Pass,55,Barauli + Aligarh,10950000,900000
Gaurang Dev,INC, 2 ,Graduate Professional,30,Barauli + Aligarh,2745000,450000
Narendra Kumar Sharma,BSP,0,Graduate Professional,37,Barauli + Aligarh,20664916,5186409
Pramod Gaur,RLD,0,Graduate,61,Barauli + Aligarh,107644165,500000
Shakir Ali,All India Majlis-E-Ittehadul Muslimeen,0,8th Pass,51,Barauli + Aligarh,2105000,857
Sunita,AAP,0,12th Pass,49,Barauli + Aligarh,3050000,0
Thakur Jaiveer Singh,BJP,0,Post Graduate,57,Barauli + Aligarh,130754430,6711061
Akhalesh Devi,IND,0,Illiterate,37,Atrauli + Aligarh,1151385,0
Brijesh Kumar,Lok Dal,0,12th Pass,37,Atrauli + Aligarh,4096000,0
Dharmendra Kumar,INC, 1 ,10th Pass,38,Atrauli + Aligarh,5704000,0
Dr. Omvir Singh,BSP,0,Doctorate,54,Atrauli + Aligarh,20824853,2749560
Kailash Kumar,Bahujan Mukti Party,0,Literate,33,Atrauli + Aligarh,0,0
Khem Singh,AAP,0,Graduate Professional,52,Atrauli + Aligarh,10369000,40000
Manju Devi Alias Manju Rani,IND,0,Post Graduate,52,Atrauli + Aligarh,20824853,2749560
Rahul Singh,IND,0,Graduate Professional,33,Atrauli + Aligarh,660360,0
Saleem Khan,IND,0,10th Pass,42,Atrauli + Aligarh,10455574,40000
Sandeep Kumar Singh,BJP,0,Post Graduate,30,Atrauli + Aligarh,144657223,0
Viresh Yadav,SP, 3 ,Graduate Professional,56,Atrauli + Aligarh,43735785,1568930
Akhilesh Kumar,INC,0,Graduate,47,Chharra + Aligarh,22816376,0
Akshay Kumar,IND,0,Graduate,30,Chharra + Aligarh,742000,0
Jasyeer,IND,0,10th Pass,27,Chharra + Aligarh,20000,0
Laxmi Dhangar,SP,0,Post Graduate,41,Chharra + Aligarh,16003573,3042873
Rajesh Kumar Sharma,Bharatiya Subhash Sena, 1 ,8th Pass,42,Chharra + Aligarh,707500,0
Ravendra Pal Singh,BJP,0,10th Pass,57,Chharra + Aligarh,80534784,0
Satish Kumar,IND,0,8th Pass,37,Chharra + Aligarh,9328193,2310812
Sushil Kumar,AAP,0,12th Pass,39,Chharra + Aligarh,7099879,320000
Tilak Raj,BSP, 1 ,12th Pass,51,Chharra + Aligarh,22817563,1894000
Yad Karan Singh,Jan Adhikar Party,0,Not Given,51,Chharra + Aligarh,3077000,0
Anil Parashar,BJP, 1 ,Graduate Professional,50,Koil + Aligarh,66823654,15132414
M L Papa,IND,0,Graduate,50,Koil + Aligarh,1295000,0
Manoj Sharma,AAP,0,10th Pass,42,Koil + Aligarh,2205000,200000
Mohd Bilal,BSP,0,10th Pass,43,Koil + Aligarh,22482937,1900000
Naim Khan,IND,0,10th Pass,32,Koil + Aligarh,954242,0
Sahab Singh,Bharatiya Subhash Sena,0,10th Pass,49,Koil + Aligarh,949052,0
Shams Tabrez Khan,IND,0,Graduate,43,Koil + Aligarh,2194115,0
Shaz Ishaq,SP, 11 ,Graduate,40,Koil + Aligarh,155536000,1370000
Vivek Bansal,INC, 10 ,Graduate,63,Koil + Aligarh,52983702,0
Dileep Kumar,IND,0,Graduate Professional,39,Aligarh + Aligarh,740000,0
Keshav Dev,IND, 3 ,Literate,46,Aligarh + Aligarh,570000,0
Mohd Salman Imtiaz,INC, 9 ,Post Graduate,31,Aligarh + Aligarh,32594,0
Monika Thapar,AAP, 1 ,12th Pass,39,Aligarh + Aligarh,1412561,0
Mukta Raja,BJP,0,12th Pass,55,Aligarh + Aligarh,15974190,4794000
Ramgopal,IND,0,Literate,43,Aligarh + Aligarh,3410368,1145760
Razia Khan,BSP,0,Graduate,52,Aligarh + Aligarh,8430000,0
Renuka Sharma,IND,0,10th Pass,42,Aligarh + Aligarh,563400,0
Vinod Kumar,IND,0,Graduate Professional,39,Aligarh + Aligarh,772837,0
Zafar Alam,SP, 1 ,Graduate Professional,76,Aligarh + Aligarh,464292000,7523000
Birpal Singh,RLD,0,Post Graduate,49,Iglas (Sc) + Aligarh,10179943,1000000
Kunwarpal Singh,Lok Dal,0,Post Graduate,67,Iglas (Sc) + Aligarh,13260000,0
Priti,INC,0,Post Graduate,27,Iglas (Sc) + Aligarh,450000,0
Rajkumar Sahyogi,BJP,0,10th Pass,56,Iglas (Sc) + Aligarh,62646999,0
Sushil Kumar,BSP,0,Graduate,37,Iglas (Sc) + Aligarh,22366758,0
Ashok Kumar Sen,Jan Adhikar Party,0,Graduate Professional,66,Katehari + Ambedkar Nagar,9004945,2000000
Avadhesh Kumar,Nirbal Indian Shoshit Hamara Aam Dal, 2 ,Post Graduate,48,Katehari + Ambedkar Nagar,33624122,0
Ekalakh,Peace Party, 2 ,5th Pass,56,Katehari + Ambedkar Nagar,75000,0
Lalji Verma,SP, 3 ,Post Graduate,66,Katehari + Ambedkar Nagar,90174093,3145000
Nishat Fatima,INC,0,Graduate,49,Katehari + Ambedkar Nagar,8493819,0
Omaveer,Bahujan Mukti Party,0,Post Graduate,39,Katehari + Ambedkar Nagar,24308247,0
Prateek Pandey,BSP,0,Graduate Professional,29,Katehari + Ambedkar Nagar,12657444,0
Raghupati,Moulik Adhikar Party,0,Post Graduate,66,Katehari + Ambedkar Nagar,11485000,0
Ram Baran Prajapati,AAP,0,Post Graduate,44,Katehari + Ambedkar Nagar,2406600,926000
Rinka Gautam,Aazad Samaj Party (Kanshi Ram),0,Graduate Professional,31,Katehari + Ambedkar Nagar,3546338,0
Daya Ram,Vikassheel Insaan Party,0,5th Pass,64,Tanda + Ambedkar Nagar,10258400,0
Irfan Ahmad,All India Majlis-E-Ittehadul Muslimeen, 7 ,Graduate,44,Tanda + Ambedkar Nagar,1998150,212300
Javed Ahmad Siddiqui,Bahujan Mukti Party,0,12th Pass,37,Tanda + Ambedkar Nagar,262797,0
Kapil Deo,BJP, 2 ,Post Graduate,39,Tanda + Ambedkar Nagar,7769012,0
Khurshed Ahmad,IND,0,Literate,39,Tanda + Ambedkar Nagar,2378000,0
Merajuddhin,INC, 2 ,12th Pass,55,Tanda + Ambedkar Nagar,23702506,1159827
Mewalal Yadav,Moulik Adhikar Party,0,12th Pass,57,Tanda + Ambedkar Nagar,12802200,0
Mohd. Sagheer,Aazad Samaj Party (Kanshi Ram),0,Post Graduate,49,Tanda + Ambedkar Nagar,20412365,0
Rakesh Verma,AAP, 1 ,Post Graduate,52,Tanda + Ambedkar Nagar,17774495,0
Ram Murti Verma,SP, 3 ,12th Pass,57,Tanda + Ambedkar Nagar,59904337,12046498
Ram Saran,Voters Party International,0,10th Pass,62,Tanda + Ambedkar Nagar,5234866,609000
Shabana Khatoon,BSP, 4 ,12th Pass,47,Tanda + Ambedkar Nagar,52500000,0
Shiv Poojan,IND,0,12th Pass,57,Tanda + Ambedkar Nagar,1669491,0
Ghanshyam,Jan Adhikar Party,0,Post Graduate,41,Alapur (Sc) + Ambedkar Nagar,54808,0
Keshradevi Gautam,BSP, 1 ,Graduate,66,Alapur (Sc) + Ambedkar Nagar,15350172,442576
Kheladi,Moulik Adhikar Party,0,Illiterate,47,Alapur (Sc) + Ambedkar Nagar,4184500,0
Nikesh,AAP, 1 ,10th Pass,48,Alapur (Sc) + Ambedkar Nagar,2738750,0
Nikhil Kumar,Aazad Samaj Party (Kanshi Ram), 1 ,12th Pass,25,Alapur (Sc) + Ambedkar Nagar,1298116,0
Premlata,Vikassheel Insaan Party,0,Post Graduate,32,Alapur (Sc) + Ambedkar Nagar,12212677,2251000
R.C. Gond,Lok Dal,0,Post Graduate,67,Alapur (Sc) + Ambedkar Nagar,16670816,0
Ram Bachan,IND,0,Graduate Professional,74,Alapur (Sc) + Ambedkar Nagar,15350171,442576
Ram Chet,Bahujan Mukti Party, 2 ,Post Graduate,46,Alapur (Sc) + Ambedkar Nagar,2913000,4520000
Sattyambada,INC,0,Graduate,48,Alapur (Sc) + Ambedkar Nagar,4193683,2970000
Shailendra Kumar,Voters Party International,0,Graduate,27,Alapur (Sc) + Ambedkar Nagar,55534,0
Tribhuwan Dutt,SP, 1 ,12th Pass,56,Alapur (Sc) + Ambedkar Nagar,39689413,10450902
Triveniram,BJP, 1 ,Literate,69,Alapur (Sc) + Ambedkar Nagar,3000174,6600
Dr. Ragini Pathak,INC,0,Doctorate,34,Jalalpur + Ambedkar Nagar,23969742,4281743
Dr. Rajesh Singh,BSP,0,Doctorate,49,Jalalpur + Ambedkar Nagar,9901322,0
Jay Singh Rana,Bahujan Mukti Party,0,Graduate,31,Jalalpur + Ambedkar Nagar,53000,0
Nitesh Kumar,Vikassheel Insaan Party,0,Graduate,32,Jalalpur + Ambedkar Nagar,2486000,0
Raghvendra Mohan,IND,0,Post Graduate,35,Jalalpur + Ambedkar Nagar,11850801,0
Rajendra Kumar,AAP,0,Post Graduate,50,Jalalpur + Ambedkar Nagar,8618991,0
Rakesh Pandey,SP, 1 ,8th Pass,68,Jalalpur + Ambedkar Nagar,634647716,232288591
Ram Boojh Maurya,Moulik Adhikar Party,0,Graduate,70,Jalalpur + Ambedkar Nagar,21805000,0
Ramesh Kumar Mishra,JD(U),0,Post Graduate,40,Jalalpur + Ambedkar Nagar,4946180,414661
Subash Chandra Rai,BJP, 1 ,Post Graduate,56,Jalalpur + Ambedkar Nagar,24772323,400000
Upendra Nath,Voters Party International,0,8th Pass,46,Jalalpur + Ambedkar Nagar,159232,0
Vinay Kumar Maurya,Jan Adhikar Party,0,Graduate,37,Jalalpur + Ambedkar Nagar,419666,0
Bhanu Pratap,IND, 2 ,8th Pass,51,Akbarpur + Ambedkar Nagar,10311520,0
Brijesh Kumar,IND,0,5th Pass,36,Akbarpur + Ambedkar Nagar,635900,0
Chandra Prakash Verma,BSP, 4 ,Post Graduate,50,Akbarpur + Ambedkar Nagar,15132612,0
Chandresh,Aazad Samaj Party (Kanshi Ram), 1 ,Graduate,45,Akbarpur + Ambedkar Nagar,566515,0
Dharmraj Nishad,BJP, 1 ,Literate,60,Akbarpur + Ambedkar Nagar,14973865,307792
Durvijay Pal,Voters Party International,0,Post Graduate,35,Akbarpur + Ambedkar Nagar,951117,1595803
Jitendra Kumar,Bahujan Mukti Party, 2 ,12th Pass,37,Akbarpur + Ambedkar Nagar,11205500,0
Manoj Kumar,Rashtriya Jan Sahyog Party,0,Graduate,33,Akbarpur + Ambedkar Nagar,50000,0
Mool Chand Jaiswal,AAP,0,Graduate,36,Akbarpur + Ambedkar Nagar,18048115,5300000
Priyanka,INC, 1 ,Graduate Professional,34,Akbarpur + Ambedkar Nagar,7436569,300000
